FWEIGHT,FASTFIN,FASTOTH,FDBTTOT,FNETWTH
1,8882658858.101242,5112911483.062834,775570125.778953,13220000215.38512
1,8763954642.173952,5044584627.512248,765205724.1793963,13043333545.5068
1,8763954642.173952,5044584627.512248,765205724.1793963,13043333545.5068
1,8763954642.173952,5044584627.512248,765205724.1793963,13043333545.5068
1,3856767159.266349,2219978208.228492,336745273.9766406,5740000093.5182
1,3265485782.932832,1879633117.071511,285118820.8234274,4860000079.180916
1,3104227225.750964,1786811728.574152,271038879.0543693,4620000075.270746
1,2916092242.372117,1678520108.660567,254612280.3238015,4340000070.708882
1,2721238152.444026,1566360930.892926,237599017.3528562,4050000065.984096
1,2385282824.981801,1372983038.190095,208265805.3339851,3550000057.837911
1,2224024267.799933,1280161649.692737,194185863.564927,3310000053.927743
1,2190428735.05371,1260823860.422454,191252542.3630398,3260000053.113124
1,1988855538.576375,1144797124.800756,173652615.1517171,2960000048.225413
1,1968698218.928641,1133194451.238586,171892622.4305849,2930000047.736642
1,1961979112.379397,1129326893.384529,171305958.1902075,2920000047.573719
1,1914945366.534685,1102253988.406133,167199308.5075655,2850000046.433252
1,1820877874.845262,1048108178.44934,158986009.1422816,2710000044.152321
1,1814158768.296018,1044240620.595284,158399344.9019042,2700000043.989397
1,1782243012.187106,1025869720.788515,155612689.7601114,2652500043.215509
1,1782243012.187106,1025869720.788515,155612689.7601114,2652500043.215509
1,1782243012.187106,1025869720.788515,155612689.7601114,2652500043.215509
1,1782243012.187106,1025869720.788515,155612689.7601114,2652500043.215509
1,1599147358.720193,920478769.2654723,139626089.2098266,2380000038.775839
1,1464765227.735303,843127612.1843401,127892804.4022782,2180000035.517365
1,1437888801.538325,827657380.7681137,125546147.4407685,2140000034.86567
1,1431169694.989081,823789822.9140571,124959483.200391,2130000034.702747
1,1417731481.890592,816054707.2059441,123786154.7196362,2110000034.376899
1,1411012375.341347,812187149.3518873,123199490.4792588,2100000034.213976
1,1390855055.693614,800584475.7897176,121439497.7581265,2070000033.725204
1,1370697736.04588,788981802.2275478,119679505.0369942,2040000033.236434
1,1350540416.398147,777379128.6653779,117919512.315862,2010000032.747663
1,1337102203.299658,769644012.9572647,116746183.8351071,1990000032.421815
1,1323663990.201169,761908897.2491515,115572855.3543523,1970000032.095968
1,1303506670.553435,750306223.6869816,113812862.63322,1940000031.607196
1,1226908855.892047,706216064.1507363,107124890.2929174,1826000029.749866
1,1226908855.892047,706216064.1507363,107124890.2929174,1826000029.749866
1,1226908855.892047,706216064.1507363,107124890.2929174,1826000029.749866
1,1226908855.892047,706216064.1507363,107124890.2929174,1826000029.749866
1,1226908855.892047,706216064.1507363,107124890.2929174,1826000029.749866
1,1189281859.216278,684557740.1680193,103839570.5468038,1770000028.837494
1,1064978388.055255,613007919.8679721,92986282.09982151,1585000025.823406
1,1064978388.055255,613007919.8679721,92986282.09982151,1585000025.823406
1,1031382855.309032,593670130.5976892,90052960.89793439,1535000025.008787
1,1031382855.309032,593670130.5976892,90052960.89793439,1535000025.008787
1,1028023302.03441,591736351.6706609,89759628.77774568,1530000024.927325
1,1028023302.03441,591736351.6706609,89759628.77774568,1530000024.927325
1,960832236.5419649,553060773.1300946,83892986.37397145,1430000023.298088
1,960832236.5419649,553060773.1300946,83892986.37397145,1430000023.298088
1,947394023.4434758,545325657.4219815,82719657.89321661,1410000022.972241
1,920517597.2464979,529855426.0057551,80373000.93170692,1370000022.320546
1,913798490.6972533,525987868.1516985,79786336.69132949,1360000022.157622
1,901704098.9086132,519026264.0143965,78730341.05865012,1342000021.86436
1,901704098.9086132,519026264.0143965,78730341.05865012,1342000021.86436
1,901704098.9086132,519026264.0143965,78730341.05865012,1342000021.86436
1,901704098.9086132,519026264.0143965,78730341.05865012,1342000021.86436
1,901704098.9086132,519026264.0143965,78730341.05865012,1342000021.86436
1,873483851.4017863,502782521.0273588,76266351.24906497,1300000021.18008
1,786135466.2616076,452504268.924623,68639716.12415847,1170000019.062072
1,779416359.7123631,448636711.0705664,68053051.88378105,1160000018.899148
1,779416359.7123631,448636711.0705664,68053051.88378105,1160000018.899148
1,779416359.7123631,448636711.0705664,68053051.88378105,1160000018.899148
1,759259040.0646297,437034037.5083965,66293059.16264877,1130000018.410378
1,752539933.5153852,433166479.6543399,65706394.92227136,1120000018.247454
1,732382613.8676516,421563806.0921701,63946402.20113908,1090000017.758682
1,732382613.8676516,421563806.0921701,63946402.20113908,1090000017.758682
1,698787081.1214291,402226016.8218871,61013080.99925197,1040000016.944064
1,692067974.5721846,398358458.9678305,60426416.75887454,1030000016.781141
1,654440977.8964152,376700134.9851135,57141097.01276097,974000015.8687677
1,636971300.8683796,366644484.5645663,55615769.98777968,948000015.4451662
1,636971300.8683796,366644484.5645663,55615769.98777968,948000015.4451662
1,636971300.8683796,366644484.5645663,55615769.98777968,948000015.4451662
1,636971300.8683796,366644484.5645663,55615769.98777968,948000015.4451662
1,636971300.8683796,366644484.5645663,55615769.98777968,948000015.4451662
1,623197132.4424282,358715990.9637502,54413108.29500596,927500015.1111724
1,623197132.4424282,358715990.9637502,54413108.29500596,927500015.1111724
1,623197132.4424282,358715990.9637502,54413108.29500596,927500015.1111724
1,623197132.4424282,358715990.9637502,54413108.29500596,927500015.1111724
1,618157802.5304949,355815322.5732078,53973110.11472289,920000014.9889798
1,604719589.432006,348080206.8650946,52799781.63396805,900000014.6631325
1,587921823.0588946,338411312.2299531,51333121.03302449,875000014.2558231
.1645535422570251,587585867.7314324,338217934.3372502,51303787.82100562,874500014.2476771
.1650152467475645,586913957.0765079,337831178.5518445,51245121.39696788,873500014.2313845
.1654787777880928,586242046.4215835,337444422.7664389,51186454.97293014,872500014.2150923
.1659441447117069,585570135.766659,337057666.9810333,51127788.54889239,871500014.1987998
.1664113569091523,584898225.1117345,336670911.1956276,51069122.12485465,870500014.1825075
.1668804238274213,584226314.4568101,336284155.4102219,51010455.70081691,869500014.1662152
.167351354976581,583554403.8018857,335897399.6248162,50951789.27677917,868500014.1499228
.1678241599264843,582882493.1469613,335510643.8394106,50893122.85274142,867500014.1336305
.1682988483030946,582210582.4920368,335123888.054005,50834456.42870368,866500014.1173382
.1687754297972938,581538671.8371123,334737132.2685993,50775790.00466594,865500014.1010456
.1692539141589688,580866761.1821879,334350376.4831936,50717123.58062819,864500014.0847533
.1697343111998267,580194850.5272634,333963620.6977879,50658457.15659045,863500014.0684609
.1702166307954189,579522939.872339,333576864.9123823,50599790.73255271,862500014.0521686
